library,path,issue,value
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/14.- Enigma Variations, Op. 36- VIII. (W.N.)- Allegretto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/15.- Enigma Variations, Op. 36- IX. (Nimrod.)- Adagio.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/16.- Enigma Variations, Op. 36- X. Intermezzo (Dorabella)- Allegretto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/17.- Enigma Variations, Op. 36- XI. (G.R.S.)- Allegro di molto.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/18.- Enigma Variations, Op. 36- XII. (B.G.N.)- Andante.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/19.- Enigma Variations, Op. 36- XIII. Romanza- Moderato.flac",missing_albumartist,
CLASSICAL,"/data/Music/CLASSICAL/Elgar - Enigma Variations op. 36, Cockaigne Overture op. 40, Serenade for String Orchestra op. 20/20.- Enigma Variations, Op. 36- XIV. Finale (E.D.U.)- Allegro - Presto.flac",missing_albumartist,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/101 - Bunessan (Morning Has Broken).flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/101 - Bunessan (Morning Has Broken).flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/102 - Iona.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/102 - Iona.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/103 - Iona Boat Song.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/103 - Iona Boat Song.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/104 - Highland Cathedral.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/104 - Highland Cathedral.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/105 - Kyrie Eleison.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/105 - Kyrie Eleison.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/106 - Pie Jesu.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/106 - Pie Jesu.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/107 - The Lamb.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/107 - The Lamb.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/108 - Ave Maria.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/108 - Ave Maria.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/109 - Ave Verum Corpus - Mozart.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/109 - Ave Verum Corpus - Mozart.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/110 - Bogoroditse Devo (Ave Maria).flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/110 - Bogoroditse Devo (Ave Maria).flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/111 - Taladh Chriosta.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/111 - Taladh Chriosta.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/112 - Clare Benediction.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/112 - Clare Benediction.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/113 - All in the April Evening.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/113 - All in the April Evening.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/114 - God So Loved the World.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/114 - God So Loved the World.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/115 - The Singer.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/115 - The Singer.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/116 - Highland Mary.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/116 - Highland Mary.flac,missing_date,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/117 - Scots Wha Hae.flac,missing_tracknumber,
CLASSICAL,/data/Music/CLASSICAL/Glasgow Phoenix Choir - Iona Abbey/117 - Scots Wha Hae.flac,missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Haydn/Haydn Quartets Op. 33 Nos 1, 2 & 4 - The Lindsays/01 - Quartet no 1 in B minor I. Allegro moderato .mp3",missing_date,
CLASSICAL,"/data/Music/CLASSICAL/Haydn/Haydn Quartets Op. 33 Nos 1, 2 & 4 - The Lindsays/02 - ... II. Scherzo - allegro di molto.mp3",missing_date,
